Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,        Environmental engineering technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3025,Line item,13.9,14.1,0.2,1.3,1.5,1.3,54000,Associate's degree,,,        Environmental engineering technologists and technicians,Environmental Engineering Technologists and Technicians,Similar Match,89.81818181818181,165,17-3025,Environmental Engineering Technologists and Technicians
,"        Electric motor, power tool, and related repairers",True,Skilled Trade,Trade,Very Certain,IN,,49-2092,Line item,16.1,16.5,0.4,2.5,2.8,1.3,49230,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,"        Electric motor, power tool, and related repairers",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,"        Heat treating equipment setters, operators, and tenders, metal and plastic",True,Skilled Trade,Trade,Somewhat Certain,IN,,51-4191,Line item,16,14.6,-1.5,-9.1,0.7,1.3,44240,High school diploma or equivalent,,Moderate-term on-the-job training,"        Heat treating equipment setters, operators, and tenders, metal and plastic","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Similar Match,85.8974358974359,975,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
,      Rail-track laying and maintenance equipment operators,True,Skilled Trade,Trade,Somewhat Certain,IN,level of skill needed uncertain,47-4061,Line item,16.5,16.7,0.2,1.4,—,1.2,67000,High school diploma or equivalent,,Moderate-term on-the-job training,      Rail-track laying and maintenance equipment operators,Rail-Track Laying and Maintenance Equipment Operators,Similar Match,85.71428571428572,835,47-4061,Rail-Track Laying and Maintenance Equipment Operators
,      Painting workers,False,,,,,,51-9120,Summary,185.9,186.9,1,0.5,10.2,16.7,45340,—,—,—,      Painting workers,Painting Workers,Similar Match,89.0625,1047,51-9120,Painting Workers
,"      Railroad brake, signal, and switch operators and locomotive firers",False,Non skilled worker,Not Trade,Somewhat Certain,IN,,53-4022,Line item,12.2,12.3,0.1,1.2,—,1.2,63540,High school diploma or equivalent,,Moderate-term on-the-job training,"      Railroad brake, signal, and switch operators and locomotive firers","Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Similar Match,86.95652173913044,1095,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
,"        Pump operators, except wellhead pumpers",False,Skilled Trade,Trade,Very Certain,IN,,53-7072,Line item,11.2,11.6,0.4,3.6,—,1.2,54690,High school diploma or equivalent,,Moderate-term on-the-job training,"        Pump operators, except wellhead pumpers","Pump Operators, Except Wellhead Pumpers",Similar Match,85.25641025641025,1131,53-7072,"Pump Operators, Except Wellhead Pumpers"
,        Gas plant operators,True,Skilled Trade,Trade,Very Certain,IN,,51-8092,Line item,14.8,13,-1.7,-11.7,—,1.1,82560,High school diploma or equivalent,,Long-term on-the-job training,        Gas plant operators,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",Similar Match,85.5,839,47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"
,      Photographic process workers and processing machine operators,False,,,,,,51-9151,Line item,6.4,5.6,-0.8,-12.5,15.6,0.7,35620,High school diploma or equivalent,,Short-term on-the-job training,      Photographic process workers and processing machine operators,Photographic Process Workers and Processing Machine Operators,Similar Match,87.5,1051,51-9151,Photographic Process Workers and Processing Machine Operators
,      Computer numerically controlled tool operators and programmers,False,,,,,,51-9160,Summary,210.3,200.2,-10.1,-4.8,—,17.5,49690,—,—,—,      Computer numerically controlled tool operators and programmers,Computer Numerically Controlled Tool Operators and Programmers,Similar Match,87.6923076923077,1052,51-9160,Computer Numerically Controlled Tool Operators and Programmers
,      Boilermakers,True,Skilled Trade,Trade,Very Certain,IN,,47-2011,Line item,13.7,13.1,-0.5,-4,—,1.1,71140,High school diploma or equivalent,,Apprenticeship,      Boilermakers,Boilermakers,Similar Match,90.0,783,47-2011,Boilermakers
,        Calibration technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,If they really require Associates it's a lot of knowledge. Definetly the upper bound. ,17-3028,Line item,11.3,11.8,0.5,4.4,1.7,1.1,62790,Associate's degree,,,        Calibration technologists and technicians,Calibration Technologists and Technicians,Similar Match,90.36585365853658,168,17-3028,Calibration Technologists and Technicians
,      Miscellaneous production workers,False,,,,,,51-9190,Summary,665.6,642.3,-23.3,-3.5,3.5,78.1,38750,—,—,—,      Miscellaneous production workers,Miscellaneous Production Workers,Similar Match,89.0625,1055,51-9190,Miscellaneous Production Workers
,"        Precision instrument and equipment repairers, all other",True,Skilled Trade,Trade,Very Certain,IN,,49-9069,Line item,12.1,12.1,0,0,8,1.1,62040,High school diploma or equivalent,,Long-term on-the-job training,"        Precision instrument and equipment repairers, all other","Precision Instrument and Equipment Repairers, All Other",Similar Match,86.36363636363636,912,49-9069,"Precision Instrument and Equipment Repairers, All Other"
,"        Geological technicians, except hydrologic technicians",True,Skilled Trade,Trade,Very Certain,IN,,19-4043,Line item,9.4,9.6,0.3,3.1,—,1,52440,Associate's degree,,Moderate-term on-the-job training,"        Geological technicians, except hydrologic technicians","Geological Technicians, Except Hydrologic Technicians",Similar Match,87.83018867924528,228,19-4043,"Geological Technicians, Except Hydrologic Technicians"
,        Stonemasons,True,Skilled Trade,Trade,Very Certain,IN,,47-2022,Line item,13.5,12.7,-0.8,-5.9,24.2,1,51830,High school diploma or equivalent,,Apprenticeship,        Stonemasons,Stonemasons,Similar Match,90.0,786,47-2022,Stonemasons
,        Shoe and leather workers and repairers,False,Skilled Trade,Trade,Somewhat Certain,IN,,51-6041,Line item,9.8,8.7,-1.1,-11,8,1,36020,High school diploma or equivalent,,Moderate-term on-the-job training,        Shoe and leather workers and repairers,Shoe and Leather Workers and Repairers,Similar Match,86.61764705882352,989,51-6041,Shoe and Leather Workers and Repairers
,        Nuclear medicine technologists,True,Skilled Trade,Trade,Somewhat Certain,IN,,29-2033,Line item,18.1,18.2,0.1,0.4,5,0.8,92500,Associate's degree,,,        Nuclear medicine technologists,Nuclear Medicine Technologists,Similar Match,88.66666666666666,480,29-2033,Nuclear Medicine Technologists
,      Traffic technicians,False,Skilled Trade,Trade,Very Certain,IN,,53-6041,Line item,7.6,7.9,0.3,3.5,—,0.8,52240,High school diploma or equivalent,,Moderate-term on-the-job training,      Traffic technicians,Traffic Technicians,Similar Match,89.99999999999999,1112,53-6041,Traffic Technicians
,"        Makeup artists, theatrical and performance",True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end,39-5091,Line item,4.6,4.9,0.4,8.6,32.9,0.8,47390,Postsecondary nondegree award,,,"        Makeup artists, theatrical and performance","Makeup Artists, Theatrical and Performance",Similar Match,88.21428571428571,641,39-5091,"Makeup Artists, Theatrical and Performance"
,        Helpers--production workers,False,,,,,,51-9198,Line item,193,175.1,-17.9,-9.3,0.7,26.9,36700,High school diploma or equivalent,,Short-term on-the-job training,        Helpers--production workers,Helpers--Production Workers,Similar Match,87.96296296296296,1063,51-9198,Helpers--Production Workers
,        Power distributors and dispatchers,True,Skilled Trade,Trade,Very Certain,IN,,51-8012,Line item,9.6,9.1,-0.5,-5,—,0.7,104750,High school diploma or equivalent,,Long-term on-the-job training,        Power distributors and dispatchers,Power Distributors and Dispatchers,Similar Match,89.41176470588236,1018,51-8012,Power Distributors and Dispatchers
,  Transportation and material moving occupations,False,,,,,,53-0000,Summary,14302.8,15082.2,779.4,5.4,4.1,1920.8,40050,—,—,—,  Transportation and material moving occupations,Transportation and Material Moving Occupations,Similar Match,91.48936170212765,1065,53-0000,Transportation and Material Moving Occupations
,    Supervisors of transportation and material moving workers,False,,,,,,53-1000,Summary,609.1,637.9,28.8,4.7,0.4,64.8,60500,—,—,—,    Supervisors of transportation and material moving workers,Supervisors of Transportation and Material Moving Workers,Similar Match,89.83050847457628,1066,53-1000,Supervisors of Transportation and Material Moving Workers
,        Radiation therapists,True,Skilled Trade,Trade,Somewhat Certain,IN,"These are all health professions, involving some degree of technical skills",29-1124,Line item,15.9,16.3,0.4,2.4,—,0.7,98300,Associate's degree,,,        Radiation therapists,Radiation Therapists,Similar Match,90.25,440,29-1124,Radiation Therapists
,"        Electrical and electronics installers and repairers, transportation equipment",True,Skilled Trade,Trade,Very Certain,IN,,49-2093,Line item,7.9,8.3,0.4,4.8,—,0.7,79160,Postsecondary nondegree award,,Long-term on-the-job training,"        Electrical and electronics installers and repairers, transportation equipment","Electrical and Electronics Installers and Repairers, Transportation Equipment",Similar Match,88.88888888888889,868,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
,    Air transportation workers,False,,,,,,53-2000,Summary,291.7,311,19.3,6.6,0.5,36.9,97320,—,—,—,    Air transportation workers,Air Transportation Workers,Similar Match,87.6923076923077,1070,53-2000,Air Transportation Workers
,      Aircraft pilots and flight engineers,False,,,,,,53-2010,Summary,142.6,148.1,5.6,3.9,0.9,16.8,171210,—,—,—,      Aircraft pilots and flight engineers,Aircraft Pilots and Flight Engineers,Similar Match,87.08333333333333,1071,53-2010,Aircraft Pilots and Flight Engineers
,"        Airline pilots, copilots, and flight engineers",False,,,,,,53-2011,Line item,91.7,95.2,3.5,3.9,—,10.8,219140,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"        Airline pilots, copilots, and flight engineers","Airline Pilots, Copilots, and Flight Engineers",Similar Match,86.7391304347826,1072,53-2011,"Airline Pilots, Copilots, and Flight Engineers"
,      Nuclear technicians,True,Skilled Trade,Trade,Very Certain,IN,,19-4051,Line item,5.9,5.8,-0.1,-1.3,—,0.6,101740,Associate's degree,,Moderate-term on-the-job training,      Nuclear technicians,Nuclear Technicians,Similar Match,90.0,230,19-4051,Nuclear Technicians
,      Air traffic controllers and airfield operations specialists,False,,,,,,53-2020,Summary,38,39.1,1.1,2.8,—,3.4,91290,—,—,—,      Air traffic controllers and airfield operations specialists,Air Traffic Controllers and Airfield Operations Specialists,Similar Match,87.09677419354838,1074,53-2020,Air Traffic Controllers and Airfield Operations Specialists
,        Signal and track switch repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9097,Line item,6.6,6.7,0.1,1.2,9.3,0.6,82710,High school diploma or equivalent,,Moderate-term on-the-job training,        Signal and track switch repairers,Signal and Track Switch Repairers,Similar Match,86.36363636363636,921,49-9097,Signal and Track Switch Repairers
,        Embalmers,False,,Not Trade,Highly Uncertain,IN,Not sue about manual/mechanical/technical skills nor certification,39-4011,Line item,4,4,0,0.9,—,0.6,54090,Associate's degree,,Long-term on-the-job training,        Embalmers,Embalmers,Similar Match,90.0,632,39-4011,Embalmers
,"        Electronic equipment installers and repairers, motor vehicles",True,Skilled Trade,Trade,Very Certain,IN,,49-2096,Line item,9.7,7.9,-1.7,-18,0.6,0.6,45570,High school diploma or equivalent,,Moderate-term on-the-job training,"        Electronic equipment installers and repairers, motor vehicles","Electronic Equipment Installers and Repairers, Motor Vehicles",Similar Match,87.21311475409836,871,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
,    Motor vehicle operators,False,,,,,,53-3000,Summary,4887,5224.7,337.7,6.9,10.1,589.2,47490,—,—,—,    Motor vehicle operators,Motor Vehicle Operators,Similar Match,86.73913043478261,1078,53-3000,Motor Vehicle Operators
,        Floor sanders and finishers,False,Skilled Trade,Trade,Somewhat Certain,IN,level of skill needed uncertain,47-2043,Line item,6.2,6.2,0,0.1,30,0.5,47760,No formal educational credential,,Moderate-term on-the-job training,        Floor sanders and finishers,Floor Sanders and Finishers,Similar Match,87.96296296296296,791,47-2043,Floor Sanders and Finishers
,      Driver/sales workers and truck drivers,False,,,,,,53-3030,Summary,3897.8,4162.8,265,6.8,7.5,445,48120,—,—,—,      Driver/sales workers and truck drivers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,        Driver/sales workers,False,,,,,,53-3031,Line item,541,582.9,41.9,7.7,7.6,62.5,35420,High school diploma or equivalent,,Short-term on-the-job training,        Driver/sales workers,Driver/Sales Workers,Similar Match,85.5,1081,53-3031,Driver/Sales Workers
,        Heavy and tractor-trailer truck drivers,False,,,,,,53-3032,Line item,2192.3,2281.5,89.3,4.1,7.5,241.2,54320,Postsecondary nondegree award,,Short-term on-the-job training,        Heavy and tractor-trailer truck drivers,General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,        Light truck drivers,False,,,,,,53-3033,Line item,1164.6,1298.4,133.8,11.5,7.6,141.3,42470,High school diploma or equivalent,,Short-term on-the-job training,        Light truck drivers,Light Truck Drivers,Similar Match,85.0,1083,53-3033,Light Truck Drivers
,      Passenger vehicle drivers,False,,,,,,53-3050,Summary,910.8,978.1,67.3,7.4,19.8,131.9,44080,—,—,—,      Passenger vehicle drivers,Passenger Vehicle Drivers,Similar Match,87.39999999999999,1084,53-3050,Passenger Vehicle Drivers
,"        Bus drivers, school",False,,,,,,53-3051,Line item,358.8,363.7,4.9,1.4,0.5,55.2,45660,High school diploma or equivalent,,Short-term on-the-job training,"        Bus drivers, school",Bus and Truck Mechanics and Diesel Engine Specialists,Similar Match,85.5,880,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
,        Musical instrument repairers and tuners,True,Skilled Trade,Trade,Very Certain,IN,,49-9063,Line item,7,6.3,-0.7,-9.4,9.9,0.5,42800,High school diploma or equivalent,,Apprenticeship,        Musical instrument repairers and tuners,Musical Instrument Repairers and Tuners,Similar Match,87.6923076923077,910,49-9063,Musical Instrument Repairers and Tuners
